CLASSIFICATION_BROAD,CLASSIFICATION_SPECIFIC,CLASS,KEGG,GO,PFAM,NAME_SHORT,NAME_FULL,DESCRIPTION,REFERENCE,WHY,,,
Nutrient processing,GS/GOGAT,GS/GOGAT,K00284,,,GLT(ferredoxin),glutamate synthase (ferredoxin) ,,,,,,
Nutrient processing,GS/GOGAT,GS/GOGAT,K00264,,,GLT1,glutamate synthase (NADPH/NADH) ,,,,,,
Nutrient processing,GS/GOGAT,GS/GOGAT,K01425,,,"glsA, GLS",glutaminase ,,,,,,
Nutrient processing,GS/GOGAT,GS/GOGAT,K01915,,,"glnA, GLUL",glutamine synthetase ,,,,,,
Nutrient processing,Inorganic N uptake and assimilation,Inorganic N uptake and assimilation,K07674,,,narQ,Nitrate/Nitrite sensor kinase,,Sensor,,,,
Nutrient processing,Inorganic N uptake and assimilation,Inorganic N uptake and assimilation,K03320,,,"amt, AMT, MEP","ammonium transporter, Amt family",,,,,,
Nutrient processing,Inorganic N uptake and assimilation,Inorganic N uptake and assimilation,K00326,,,cytochrome-b5 reductase,cytochrome-b5 reductase,,,,,,
Nutrient processing,Inorganic N uptake and assimilation,Inorganic N uptake and assimilation,K00284,,,GLT(ferredoxin),glutamate synthase (ferredoxin),,,,,,
Nutrient processing,Inorganic N uptake and assimilation,Inorganic N uptake and assimilation,K00264,,,GLT1,glutamate synthase (NADPH/NADH),,,,,,
Nutrient processing,Inorganic N uptake and assimilation,Inorganic N uptake and assimilation,K01915,,,"glnA, GLUL",glutamine synthetase ,,,,,,
Nutrient processing,Inorganic N uptake and assimilation,Inorganic N uptake and assimilation,K00508,,,linoleoyl-CoA desaturase,linoleoyl-CoA desaturase,,,,,,
Nutrient processing,Inorganic N uptake and assimilation,Inorganic N uptake and assimilation,K01285,,,PRCP,lysosomal Pro-X carboxypeptidase,,,,,,
Nutrient processing,Inorganic N uptake and assimilation,Inorganic N uptake and assimilation,K02575,,,"NRT, narK, nrtP, nasA","MFS transporter, NNP family, nitrate/nitrite transporter",,,,,,
Nutrient processing,Inorganic N uptake and assimilation,Inorganic N uptake and assimilation,K10534,,,NR,nitrate reductase (NAD(P)H),,,,,,
Nutrient processing,Inorganic N uptake and assimilation,Inorganic N uptake and assimilation,K13076,,,SLD,sphingolipid 8-(E)-desaturase,,,,,,
Nutrient processing,Inorganic N uptake and assimilation,Inorganic N uptake and assimilation,K00387,,,SUOX,sulfite oxidase,,,,,,
Nutrient processing,Nitrate reduction (assimilatory),Nitrate reduction (assimilatory),K00372,,,nasA,assimilatory nitrate reductase catalytic subunit ,,,,,,
Nutrient processing,Nitrate reduction (assimilatory),Nitrate reduction (assimilatory),K00366,,,nirA,ferredoxin-nitrite reductase ,,,,,,
Nutrient processing,Nitrate reduction (assimilatory),Nitrate reduction (assimilatory),K10534,,,NR,nitrate reductase (NAD(P)H) ,,,,,,
Nutrient processing,Nitrate reduction (assimilatory),Nitrate reduction (assimilatory),K17877,,,NIT-6,nitrite reductase (NAD(P)H) ,,,,,,
Nutrient processing,Organic N uptake and assimilation,Organic N uptake and assimilation,K01755,,,"argH, ASL",argininosuccinate lyase,,,,,,
Nutrient processing,Organic N uptake and assimilation,Organic N uptake and assimilation,K01940,,,"argG, ASS1",argininosuccinate synthase,,,,,,
Nutrient processing,Organic N uptake and assimilation,Organic N uptake and assimilation,K00609,,,"pyrB, PYR2",aspartate carbamoyltransferase catalytic subunit,,,,,,
Nutrient processing,Organic N uptake and assimilation,Organic N uptake and assimilation,K01948,,,CPS1,carbamoyl-phosphate synthase (ammonia),,,,,,
Nutrient processing,Organic N uptake and assimilation,Organic N uptake and assimilation,K11540,,,CAD,carbamoyl-phosphate synthase / aspartate carbamoyltransferase / dihydroorotase,,,,,,
Nutrient processing,Organic N uptake and assimilation,Organic N uptake and assimilation,K01955,,,"carB, CPA2",carbamoyl-phosphate synthase large subunit,,,,,,
Nutrient processing,Organic N uptake and assimilation,Organic N uptake and assimilation,K01679,,,fumC,"fumarate hydratase, class II",,,,,,
Nutrient processing,Organic N uptake and assimilation,Organic N uptake and assimilation,K00611,,,"OTC, argF, argI",ornithine carbamoyltransferase,,,,,,
Nutrient processing,Organic N uptake and assimilation,Organic N uptake and assimilation,K01427,,,URE,urease,,,,,,
Nutrient processing,Organic N uptake and assimilation,Organic N uptake and assimilation,K03189,,,ureG,urease accessory protein,,,,,,
Nutrient processing,Organic N uptake and assimilation,Organic N uptake and assimilation,K03190,,,"ureD, ureH",urease accessory protein,,,,,,
Nutrient processing,P metabolism,P metabolism,K01081,,,5-nucleotidase,5-nucleotidase,,,,,,
Nutrient processing,P metabolism,P metabolism,K01113,,,phoD,alkaline phosphatase D,,,,,,
Nutrient processing,P metabolism,P metabolism,K06653,,,PHO81,CDK inhibitor PHO81,,,,,,
Nutrient processing,P metabolism,P metabolism,K16275,,,"BAH, NLA",E3 ubiquitin-protein ligase BAH,,,,,,
Nutrient processing,P metabolism,P metabolism,K18696,,,GDE1,glycerophosphodiester phosphodiesterase,,,,,,
Nutrient processing,P metabolism,P metabolism,K14430,,,PHO87_91,phosphate transporter,,,,,,
Nutrient processing,P metabolism,P metabolism,K00948,,,"PRPS, prsA",ribose-phosphate pyrophosphokinase,,,,,,
Nutrient processing,P metabolism,P metabolism,K14379,,,ACP5,tartrate-resistant acid phosphatase type 5,,,,,,
Nutrient processing,Glycolysis; TCA cycle,Carbon fixation,K00161,,,"PDHA, pdhA",pyruvate dehydrogenase E1 component alpha subunit ,,,,,,
Nutrient processing,Glycolysis; TCA cycle,Carbon fixation,K00162,,,"PDHB, pdhB",pyruvate dehydrogenase E1 component beta subunit ,,,,,,
Nutrient processing,Urea cycle,Urea cycle,K01476,,,"rocF, arg",arginase ,,,,,,
Nutrient processing,Urea cycle,Urea cycle,K01755,,,"argH, ASL",argininosuccinate lyase ,,,,,,
Nutrient processing,Urea cycle,Urea cycle,K01940,,,"argG, ASS1",argininosuccinate synthase ,,,,,,
Nutrient processing,Urea cycle,Urea cycle,K01948,,,CPS1,carbamoyl-phosphate synthase (ammonia) ,,,,,,
Nutrient processing,Urea cycle,Urea cycle,K00611,,,"OTC, argF, argI",ornithine carbamoyltransferase ,,,,,,
Parasitism,Parasitism,,,15858,,,Nucleoside transport,"Overall, ENT transporters are diverse within parasitic protists. These transporters allow parasites to salvage a lot of different nucleosides and nucleobases from the host so the parasite can form their nucleotides. ",Landfear et al. 2004; Dean et al. 2014,,,,
Parasitism,Parasitism,,,15867,,,ATP Transport,Set of key transporters for parasite to scavenge nutrients from host,,,,,
Parasitism,Parasitism,,,8643,,,Nucleotide-sugar transport,"Overall, ENT transporters are diverse within parasitic protists. These transporters allow parasites to salvage a lot of different nucleosides and nucleobases from the host so the parasite can form their nucleotides. ",,,,,
Parasitism,Parasitism,Parasitism,K23537,,,nupA,general nucleoside transport system ATP-binding protein,"Nutrients are imported from the host as either nucleosides or nucleobases, either of which can serve as a purine source for the parasite",Landfear et al. 2004,Transport nutrients from host into parasite,,,
Parasitism,Parasitism,Parasitism,K18278,,,THI5,pyrimidine precursor biosynthesis enzyme,Parasites use this for nucleotide synthesis after obtaining it from the host,Li et al. 2021,,,,
Parasitism,Parasitism,Parasitism,K20656,,,TMEM189,plasmanylethanolamine desaturase,"Plasmalogen biosynthesis is important for membrane integrity, which is applicable to parasites",https://doi.org/10.1016/s0166-6851(98)00165-0,,,,
Parasitism,Parasitism,Parasitism,K07106,,,muQ,N-acetylmuramic acid 6-phosphate etherase,Enzyme related to digesting bacterial cell walls,,,,,
Parasitism,Parasitism,Parasitism,K00102 ,,,"LDHD, dld",D-lactate dehydrogenase,Enzyme related to digesting bacterial cell walls,,,,,
Parasitism,Parasitism,Parasitism,K01775,,,Alr,alanine racemase,Enzyme related to digesting bacterial cell walls,,,,,
Parasitism,Parasitism,Parasitism,K01798,,,alr-murF,Alr-MurF fusion protein,Enzyme related to digesting bacterial cell walls,,,,,
Parasitism,Parasitism,Parasitism,K06141,,,tsgA,"MFS transporter, TsgA protein",MFS = Major Facilitator Superfamily of transporters that will help move substrates across membranes.,,,,,
Parasitism,Parasitism,Parasitism,K05680,,,ABCG4,"ATP-binding cassette, subfamily G (WHITE), member 4",,"Toxins, Drugs, phospholipids",Host cytosol into parasite; localized ABC transporter,from Dean et al. fig 2.,ABC transporrters overall are widely distributed in parasitic protists and they are also the largest transporter family overall (Kay et al. 2012),
Parasitism,Parasitism,Parasitism,K05665,,,MRP1,"ATP-binding cassette, subfamily C (CFTR/MRP), member 1",,"Toxins, Drugs, phospholipids",Host cytosol into parasite; localized ABC transporter,from Dean et al. fig 2.,,
Parasitism,Parasitism,Parasitism,K14613,,,SLC46A1,"MFS transporter, folate transporter",,from Dean et al. fig 2.,Host cytosol into parasite,,,
Parasitism,Parasitism,Parasitism,K15115,,,"SLC25A32, MFT",solute carrier family 25 (mitochondrial folate transporter),,from Dean et al. fig 2.,Host cytosol into parasite,,,
Parasitism,Parasitism,Parasitism,K14609,,,"SLC19A1, RFC1","solute carrier family 19 (folate transporter), member 1",,from Dean et al. fig 2.,Host cytosol into parasite,,,
Parasitism,Parasitism,Parasitism,K07784,,,uhpT,"MFS transporter, OPA family, hexose phosphate transport protein UhpT",,from Dean et al. fig 2.,Hexose sugar transporter,,,
Parasitism,Parasitism,Parasitism,K08139,,,HXT,"MFS transporter, SP family, sugar:H+ symporter",,,,,,
Parasitism,Parasitism,Parasitism,K01997,,,livH,"ABC-type branched-chain amino acid transport system, permease component",,,,,,
Parasitism,Parasitism,Parasitism,K01995,,,livG,"ABC-type branched-chain amino acid transport system, ATPase component",,,,,,
Parasitism,Parasitism,Parasitism,K01996,,,livF,"ABC-type branched-chain amino acid transport system, ATPase component",,,,,,
Parasitism,Parasitism,Parasitism,K01999,,,livJ,"ABC-type branched-chain amino acid transport system, substrate-binding component",,,,,,
Parasitism,Parasitism,Parasitism,K10002,,,gltK,"Glutamate and aspartate transport system, permease component",,,,,,
Parasitism,Parasitism,Parasitism,K10003,,,gltJ,"Glutamate and aspartate transport system, permease component",,,,,,
Parasitism,Parasitism,Parasitism,K10004,,,gltL,"Glutamate and aspartate transport system, ATPase component",,,,,,
Parasitism,Parasitism,Parasitism,K10001,,,gltI,"Glutamate and aspartate transport system, substrate-binding component",,,,,,
Parasitism,Parasitism,Parasitism,,,Mitochondrial carrier protein,HMP31,PF00153,,from Dean et al. fig 2.,,,,
Parasitism,Parasitism,Parasitism,,,TLC ATP/ADP transporter,AAC,PF03219,,from Dean et al. fig 2.,,,,
Parasitism,Parasitism,Parasitism,K09240,,,CAT8,transcriptional regulatory protein CAT8,,Wan et al. 2008,,,,
Parasitism,Parasitism,Parasitism,K11736,,,proY,proline-specific permease ProY,"For parasites, this is a permease that transports proline. Likely as a stress response and survuval tactic",Bringaud et al. 2012,,,,
Parasitism,Parasitism,Parasitism,K09043,,,YAP,AP-1-like transcription factor,Involved in stress response to environment. May see this in parasitic eukaryotes (survival and virulence),Cartwright et al. 2013,,,,
Parasitism,Parasitism,Parasitism,K15975,,,K15975,glyoxalase family protein,Response to stress via detoxification of methylglyoxal,https://www.ncbi.nlm.nih.gov/Structure/cdd/cddsrv.cgi?uid=176659,,,,
Phagotrophy,Actin polymerization,Rho GTPase,K18470,,,"ARHGAP1, CDC42GAP",Rho GTPase-activating protein 1,Rho GTPase,"May & Machesky 2001, Lai et al. 2008, Flannagan et al. 2012",,,,
Phagotrophy,Actin polymerization,Rho GTPase,K13736,,,ARHGAP10,Rho GTPase-activating protein 10,Rho GTPase,Niedergang and Grinstein 2018,,,,
Phagotrophy,Actin polymerization,Rho GTPase,K20635,,,ARHGAP11,Rho GTPase-activating protein 11,Rho GTPase,Castellano et al. 2001; Flannagan et al. 2012,,,,
Phagotrophy,Actin polymerization,Rho GTPase,K20636,,,ARHGAP12_27,Rho GTPase-activating protein 12/27,Rho GTPase,Niedergang and Grinstein 2018,,,,
Phagotrophy,Actin polymerization,Rho GTPase,K20637,,,ARHGAP15,Rho GTPase-activating protein 15,Rho GTPase,Niedergang and Grinstein 2018,,,,
Phagotrophy,Actin polymerization,Rho GTPase,K20638,,,"ARHGAP17, RICH1",Rho GTPase-activating protein 17,Rho GTPase,Niedergang and Grinstein 2018,,,,
Phagotrophy,Actin polymerization,Rho GTPase,K20639,,,ARHGAP18_28_40,Rho GTPase-activating protein 18/28/40,Rho GTPase,Niedergang and Grinstein 2018,,,,
Phagotrophy,Actin polymerization,Rho GTPase,K20641,,,ARHGAP20,Rho GTPase-activating protein 20,Rho GTPase,Niedergang and Grinstein 2018,,,,
Phagotrophy,Actin polymerization,Rho GTPase,K20315,,,ARHGAP21_23,Rho GTPase-activating protein 21/23,Rho GTPase,Niedergang and Grinstein 2018,,,,
Phagotrophy,Actin polymerization,Rho GTPase,K20642,,,ARHGAP22_24_25,Rho GTPase-activating protein 22/24/25,Rho GTPase,Niedergang and Grinstein 2018,,,,
Phagotrophy,Actin polymerization,Rho GTPase,K20071,,,"ARHGAP26, GRAF",Rho GTPase-activating protein 26,Rho GTPase,Niedergang and Grinstein 2018,,,,
Phagotrophy,Actin polymerization,Rho GTPase,K20644,,,ARHGAP29_45,Rho GTPase-activating protein 29/45,Rho GTPase,Niedergang and Grinstein 2018,,,,
Phagotrophy,Actin polymerization,Rho GTPase,K20647,,,ARHGAP32,Rho GTPase-activating protein 32,Rho GTPase,Niedergang and Grinstein 2018,,,,
Phagotrophy,Actin polymerization,Rho GTPase,K05732,,,"ARHGAP35, GRLF1",glucocorticoid receptor DNA-binding factor 1,Rho GTPase,Niedergang and Grinstein 2018,,,,
Phagotrophy,Actin polymerization,Rho GTPase,K20649,,,ARHGAP39,Rho GTPase-activating protein 39,Rho GTPase,Niedergang and Grinstein 2018,,,,
Phagotrophy,Actin polymerization,Rho GTPase,K20122,,,ARHGAP4,Rho GTPase-activating protein 4,Rho GTPase,Niedergang and Grinstein 2018,,,,
Phagotrophy,Actin polymerization,Rho GTPase,K20651,,,"ARHGAP42, GRAF3",Rho GTPase-activating protein 42,Rho GTPase,Niedergang and Grinstein 2018,,,,
Phagotrophy,Actin polymerization,Rho GTPase,K21067,,,"ARHGAP44, RICH2",Rho GTPase-activating protein 44,Rho GTPase,Niedergang and Grinstein 2018,,,,
Phagotrophy,Actin polymerization,Rho GTPase,K13709,,,ARHGAP5,Rho GTPase-activating protein 5,Rho GTPase,Niedergang and Grinstein 2018,,,,
Phagotrophy,Actin polymerization,Rho GTPase,K20631,,,ARHGAP6,Rho GTPase-activating protein 6,Rho GTPase,Niedergang and Grinstein 2018,,,,
Phagotrophy,Actin polymerization,Rho GTPase,K20633,,,"ARHGAP8, BPGAP1",Rho GTPase-activating protein 8,Rho GTPase,Niedergang and Grinstein 2018,,,,
Phagotrophy,Actin polymerization,Rho GTPase,K20634,,,ARHGAP9,Rho GTPase-activating protein 9,Rho GTPase,Niedergang and Grinstein 2018,,,,
Phagotrophy,Actin polymerization,Actin-related,K11652,,,ACTL6B,actin-like protein 6B,Actin-related,,,,,
Phagotrophy,Actin polymerization,Actin-related,K16576,,,"ACTR10, ARP11",actin-related protein 10,Actin-related,,,,,
Phagotrophy,Actin polymerization,Actin-related,K11672,,,"ACTR5, ARP5, INO80M",actin-related protein 5,Actin-related,,,,,
Phagotrophy,Actin polymerization,Arp2/3 complex,K05757,,,ARPC1A_B,"actin related protein 2/3 complex, subunit 1A/1B",Arp2/3 complex,Yutin et al. 2009; Goley & Welch 2006,,,,
Phagotrophy,Actin polymerization,Arp2/3 complex,K05758,,,ARPC2,"actin related protein 2/3 complex, subunit 2",Arp2/3 complex,Yutin et al. 2009; Goley & Welch 2006,,,,
Phagotrophy,Actin polymerization,Arp2/3 complex,K05756,,,ARPC3,"actin related protein 2/3 complex, subunit 3",Arp2/3 complex,Yutin et al. 2009; Goley & Welch 2006,,,,
Phagotrophy,Actin polymerization,Arp2/3 complex,K05755,,,ARPC4,"actin related protein 2/3 complex, subunit 4",Arp2/3 complex,Yutin et al. 2009; Goley & Welch 2006,,,,
Phagotrophy,Actin polymerization,Arp2/3 complex,K05754,,,ARPC5,"actin related protein 2/3 complex, subunit 5",Arp2/3 complex,Yutin et al. 2009; Goley & Welch 2006,,,,
Phagotrophy,Actin polymerization,Arp2/3 complex,K17260,,,"ACTR2, ARP2",actin-related protein 2,Arp2/3 complex,Yutin et al. 2009; Goley & Welch 2006,,,,
Phagotrophy,Actin polymerization,Arp2/3 complex,K18584,,,"ACTR3, ARP3",actin-related protein 3,Arp2/3 complex,Yutin et al. 2009; Goley & Welch 2006,,,,
Phagotrophy,Actin polymerization,WASP / WAVE,K05747,,,WAS,Wiskott-Aldrich syndrome protein,WASP / WAVE,Yutin et al. 2009; Goley & Welch 2006,,,,
Phagotrophy,Actin polymerization,WASP / WAVE,K23612,,,WASL,neural Wiskott-Aldrich syndrome protein,WASP / WAVE,Yutin et al. 2009; Goley & Welch 2006,,,,
Phagotrophy,Actin polymerization,WASP / WAVE,K05753,,,WASF1,"WAS protein family, member 1",WASP / WAVE,Yutin et al. 2009; Goley & Welch 2006,,,,
Phagotrophy,Actin polymerization,WASP / WAVE,K05748,,,WASF2,"WAS protein family, member 2",WASP / WAVE,Yutin et al. 2009; Goley & Welch 2006,,,,
Phagotrophy,Actin polymerization,WASP / WAVE,K06083,,,WASF3,"WAS protein family, member 3",WASP / WAVE,Yutin et al. 2009; Goley & Welch 2006,,,,
Phagotrophy,Actin polymerization,Actin-related,K11662,,,"ACTR6, ARP6",actin-related protein 6,Actin-related,,,,,
Phagotrophy,Actin polymerization,Actin-related,K11673,,,"ACTR8, ARP8, INO80N",actin-related protein 8,Actin-related,,,,,
Phagotrophy,Actin polymerization,Actin-related,K10355,,,ACTF,"actin, other eukaryote",Actin-related,,,,,
Phagotrophy,Actin polymerization,Actin-related,K20048,,,END3,actin cytoskeleton-regulatory complex protein END3,Actin-related,,,,,
Phagotrophy,Lysosome associated,Cathepsin,K13289,,,"CTSA, CPY",cathepsin A (carboxypeptidase C) [EC:3.4.16.5],Cathepsin,Labarre et al. 2019; Flannagan et al. 2012,,,,
Phagotrophy,Lysosome associated,Cathepsin,K01363,,,CTSB,cathepsin B [EC:3.4.22.1],Cathepsin,Labarre et al. 2019; Flannagan et al. 2012,,,,
Phagotrophy,Lysosome associated,Cathepsin,K01275,,,CTSC,cathepsin C [EC:3.4.14.1],Cathepsin,Labarre et al. 2019; Flannagan et al. 2012,,,,
Phagotrophy,Lysosome associated,Cathepsin,K01379,,,CTSD,cathepsin D [EC:3.4.23.5],Cathepsin,Labarre et al. 2019; Flannagan et al. 2012,,,,
Phagotrophy,Lysosome associated,Cathepsin,K01382,,,CTSE,cathepsin E [EC:3.4.23.34],Cathepsin,Labarre et al. 2019; Flannagan et al. 2012,,,,
Phagotrophy,Lysosome associated,Cathepsin,K01373,,,CTSF,cathepsin F [EC:3.4.22.41],Cathepsin,Labarre et al. 2019; Flannagan et al. 2012,,,,
Phagotrophy,Lysosome associated,Cathepsin,K01319,,,CTSG,cathepsin G [EC:3.4.21.20],Cathepsin,Labarre et al. 2019; Flannagan et al. 2012,,,,
Phagotrophy,Lysosome associated,Cathepsin,K01366,,,CTSH,cathepsin H [EC:3.4.22.16],Cathepsin,Labarre et al. 2019; Flannagan et al. 2012,,,,
Phagotrophy,Lysosome associated,Cathepsin,K01371,,,CTSK,cathepsin K [EC:3.4.22.38],Cathepsin,Labarre et al. 2019; Flannagan et al. 2012,,,,
Phagotrophy,Lysosome associated,Cathepsin,K01365,,,CTSL,cathepsin L [EC:3.4.22.15],Cathepsin,Labarre et al. 2019; Flannagan et al. 2012,,,,
Phagotrophy,Lysosome associated,Cathepsin,K01374,,,CTSO,cathepsin O [EC:3.4.22.42],Cathepsin,Labarre et al. 2019; Flannagan et al. 2012,,,,
Phagotrophy,Lysosome associated,Cathepsin,K01368,,,CTSS,cathepsin S [EC:3.4.22.27],Cathepsin,Labarre et al. 2019; Flannagan et al. 2012,,,,
Phagotrophy,Lysosome associated,Cathepsin,K08569,,,CTSW,cathepsin W [EC:3.4.22.-],Cathepsin,Labarre et al. 2019; Flannagan et al. 2012,,,,
Phagotrophy,Lysosome associated,Cathepsin,K08568,,,CTSZ,cathepsin X [EC:3.4.18.1],Cathepsin,Labarre et al. 2019; Flannagan et al. 2012,,,,
Phagotrophy,Chitinase,Chitinase,K00698,,,CHS1,chitin synthase ,Chitinase,Labarre et al. 2019; Flannagan et al. 2012,,,,
Phagotrophy,Chitinase,Chitinase,K01183,,,chitinase,chitinase ,Chitinase,Labarre et al. 2019; Flannagan et al. 2012,,,,
Phagotrophy,Phagosome associated,Early phagosome,K07887,,,Rab-5A,Ras-related protein Rab-5A,Early phagosome,McKie-Krisberg et al. 2018,,,,
Phagotrophy,Phagosome associated,Early phagosome,K07888,,,Rab-5B,Ras-related protein Rab-5B,Early phagosome,McKie-Krisberg et al. 2018,,,,
Phagotrophy,Phagosome associated,Early phagosome,K07889,,,Rab-5C,Ras-related protein Rab-5C,Early phagosome,McKie-Krisberg et al. 2018,,,,
Phagotrophy,Phagosome associated,Early phagosome,K12478,,,early endosome antigen 1,early endosome antigen 1,Early phagosome,McKie-Krisberg et al. 2018,,,,
Phagotrophy,Phagosome associated,Early phagosome,K06503,,,transferrin receptor,transferrin receptor,Early phagosome,McKie-Krisberg et al. 2018,,,,
Phagotrophy,Phagosome associated,Early phagosome,K00914,,,phosphatidylinositol 3-kinase,phosphatidylinositol 3-kinase [EC:2.7.1.137],Early phagosome,McKie-Krisberg et al. 2018,,,,
Phagotrophy,Phagosome associated,Early phagosome,K13813,,,syntaxin 12/13,syntaxin 12/13,Early phagosome,McKie-Krisberg et al. 2018,,,,
Phagotrophy,Phagosome associated,Early phagosome,K08057,,,calreticulin,calreticulin,Early phagosome,McKie-Krisberg et al. 2018,,,,
Phagotrophy,Phagosome associated,Early phagosome,K08054,,,calnexin,calnexin,Early phagosome,McKie-Krisberg et al. 2018,,,,
Phagotrophy,Endocytosis,Endocytosis,K12492,,,ARFGAP1,ADP-ribosylation factor GTPase-activating protein 1,,McKie-Krisberg et al. 2018; Yutin et al. 2009,,,,
Phagotrophy,Endocytosis,Endocytosis,K12562,,,AMPH,Amphiphysin,,McKie-Krisberg et al. 2018; Yutin et al. 2009,,,,
