,Descriptive_ID,Pfam_ID,CL,Description,Gathering_threshold,Symbol,ML,Overlapping_family,Type
42,3HCDH_RFF,PF18321.4,CL0063,3-hydroxybutyryl-CoA dehydrogenase reduced Rossmann-fold domain,23.6; 23.6;,3HCDH_RFF,69,,Domain
43,3keto-disac_hyd,PF06439.14,CL0004,3-keto-disaccharide hydrolase,26.8; 26.8;,3keto-disac_hyd,185,,Domain
44,40S_S4_C,PF16121.8,,40S ribosomal protein S4 C-terminus,27; 27;,40S_S4_C,48,,Family
45,40S_SA_C,PF16122.8,,40S ribosomal protein SA C-terminus,25; 25;,40S_SA_C,95,,Family
46,4F5,PF04419.17,,4F5 protein related disordered region,22.3; 22.3;,4F5,38,,Disordered
47,4HB,PF17947.4,,Four helical bundle domain,26.1; 26.1;,4HB,78,,Domain
48,4HBT,PF03061.25,CL0050,Thioesterase superfamily,20.6; 20.6;,4HBT,79,,Domain
49,4HBT_2,PF13279.9,CL0050,Thioesterase-like superfamily,25.5; 25.5;,4HBT_2,123,,Domain
50,4HBT_3,PF13622.9,CL0050,Thioesterase-like superfamily,27; 27;,4HBT_3,250,,Domain
51,4HB_MCP_1,PF12729.10,CL0457,Four helix bundle sensory module for signal transduction,27; 27;,4HB_MCP_1,181,,Family
52,4HFCP_synth,PF04476.16,CL0036,4-HFC-P synthase,22.4; 22.4;,4HFCP_synth,228,,Family
53,4HPAD_g_N,PF18671.4,,4-Hydroxyphenylacetate decarboxylase subunit gamma N-terminal,25; 25;,4HPAD_g_N,31,,Domain
54,4PPT_N,PF17837.4,CL0670,4'-phosphopantetheinyl transferase N-terminal domain,27; 27;,4PPT_N,68,,Domain
55,4_1_CTD,PF05902.16,,4.1 protein C-terminal domain (CTD),25; 25;,4_1_CTD,107,,Domain
56,5-FTHF_cyc-lig,PF01812.23,CL0246,5-formyltetrahydrofolate cyclo-ligase family,27; 27;,5-FTHF_cyc-lig,187,,Family
57,5-nucleotidase,PF06189.15,,5'-nucleotidase,28.2; 28.2;,5-nucleotidase,266,,Family
58,53-BP1_Tudor,PF09038.13,CL0049,Tumour suppressor p53-binding protein-1 Tudor,22; 22;,53-BP1_Tudor,122,,Domain
59,5HT_transport_N,PF03491.16,,"Serotonin (5-HT) neurotransmitter transporter, N-terminus",23; 23;,5HT_transport_N,41,,Family
60,5TM-5TMR_LYT,PF07694.15,CL0315,5TMR of 5TMR-LYT,24.6; 24.6;,5TM-5TMR_LYT,168,,Domain
61,5_3_exonuc,PF01367.23,CL0464,"5'-3' exonuclease, C-terminal SAM fold",40; 40;,5_3_exonuc,97,,Domain
62,5_3_exonuc_N,PF02739.19,CL0280,"5'-3' exonuclease, N-terminal resolvase-like domain",34.3; 34.3;,5_3_exonuc_N,159,,Domain
63,5_nucleotid,PF05761.17,CL0137,5' nucleotidase family,28.5; 28.5;,5_nucleotid,461,,Family
64,5_nucleotid_C,PF02872.21,,"5'-nucleotidase, C-terminal domain",23.6; 23.6;,5_nucleotid_C,158,,Domain
65,60KD_IMP,PF02096.23,CL0376,60Kd inner membrane protein,35; 35;,60KD_IMP,166,,Family
66,6PF2K,PF01591.21,CL0023,6-phosphofructo-2-kinase,27; 27;,6PF2K,223,,Domain
67,6PGD,PF00393.22,CL0106,"6-phosphogluconate dehydrogenase, C-terminal domain",27; 27;,6PGD,291,,Domain
68,7TM-7TMR_HD,PF07698.14,CL0192,7TM receptor with intracellular HD hydrolase,29.4; 29.4;,7TM-7TMR_HD,193,,Domain
69,7TMR-DISMED2,PF07696.14,CL0202,7TMR-DISM extracellular 2,22; 22;,7TMR-DISMED2,134,,Domain
70,7TMR-DISM_7TM,PF07695.14,CL0192,7TM diverse intracellular signalling,29; 29;,7TMR-DISM_7TM,205,,Domain
71,7TMR-HDED,PF07697.14,,7TM-HD extracellular,27.6; 27.6;,7TMR-HDED,220,,Domain
72,7TM_GPCR_Sra,PF02117.19,CL0192,Serpentine type 7TM GPCR chemoreceptor Sra,24; 24;,7TM_GPCR_Sra,328,,Family
73,7TM_GPCR_Srab,PF10292.12,CL0192,Serpentine type 7TM GPCR receptor class ab chemoreceptor,21; 21;,7TM_GPCR_Srab,324,,Family
74,7TM_GPCR_Srb,PF02175.19,CL0192,Serpentine type 7TM GPCR chemoreceptor Srb,21.7; 21.7;,7TM_GPCR_Srb,236,,Family
75,7TM_GPCR_Srbc,PF10316.12,CL0192,Serpentine type 7TM GPCR chemoreceptor Srbc,22; 22;,7TM_GPCR_Srbc,275,,Family
76,7TM_GPCR_Srd,PF10317.12,CL0192,Serpentine type 7TM GPCR chemoreceptor Srd,22.8; 22.8;,7TM_GPCR_Srd,292,,Family
77,7TM_GPCR_Srh,PF10318.12,CL0192,Serpentine type 7TM GPCR chemoreceptor Srh,26.3; 26.3;,7TM_GPCR_Srh,302,,Family
78,7TM_GPCR_Sri,PF10327.12,CL0192,Serpentine type 7TM GPCR chemoreceptor Sri,23; 23;,7TM_GPCR_Sri,303,,Family
79,7TM_GPCR_Srj,PF10319.12,CL0192,Serpentine type 7TM GPCR chemoreceptor Srj,24.1; 24.1;,7TM_GPCR_Srj,310,,Family
80,7TM_GPCR_Srsx,PF10320.12,CL0192,Serpentine type 7TM GPCR chemoreceptor Srsx,24.1; 24.1;,7TM_GPCR_Srsx,257,,Family
81,7TM_GPCR_Srt,PF10321.12,CL0192,Serpentine type 7TM GPCR chemoreceptor Srt,23; 23;,7TM_GPCR_Srt,313,,Family
82,7TM_GPCR_Sru,PF10322.12,CL0192,Serpentine type 7TM GPCR chemoreceptor Sru,26; 26;,7TM_GPCR_Sru,304,,Family
83,7TM_GPCR_Srv,PF10323.12,CL0192,Serpentine type 7TM GPCR chemoreceptor Srv,21; 21;,7TM_GPCR_Srv,283,,Family
84,7TM_GPCR_Srw,PF10324.12,CL0192,Serpentine type 7TM GPCR chemoreceptor Srw,22.2; 22.2;,7TM_GPCR_Srw,319,,Family
85,7TM_GPCR_Srx,PF10328.12,CL0192,Serpentine type 7TM GPCR chemoreceptor Srx,23.8; 23.8;,7TM_GPCR_Srx,263,,Family
86,7TM_GPCR_Srz,PF10325.12,CL0192,Serpentine type 7TM GPCR chemoreceptor Srz,22; 22;,7TM_GPCR_Srz,266,,Family
87,7TM_GPCR_Str,PF10326.12,CL0192,Serpentine type 7TM GPCR chemoreceptor Str,22; 22;,7TM_GPCR_Str,307,,Family
88,7TM_transglut,PF14402.9,,7 transmembrane helices usually fused to an inactive transglutaminase,25; 25;,7TM_transglut,248,,Family
89,7kD_DNA_binding,PF02294.21,CL0049,7kD DNA-binding domain,25; 25;,7kD_DNA_binding,58,,Domain
90,7tm_1,PF00001.24,CL0192,7 transmembrane receptor (rhodopsin family),30.5; 30.5;,7tm_1,264,HTH_Tnp_Tc3_2,Family
91,7tm_2,PF00002.27,CL0192,7 transmembrane receptor (Secretin family),20.6; 20.6;,7tm_2,246,,Family
92,7tm_3,PF00003.25,CL0192,7 transmembrane sweet-taste receptor of 3 GCPR,33.5; 33.5;,7tm_3,243,,Domain
93,7tm_4,PF13853.9,CL0192,Olfactory receptor,27; 27;,7tm_4,280,,Family
94,7tm_6,PF02949.23,CL0176,7tm Odorant receptor,25.8; 25.8;,7tm_6,313,,Family
95,7tm_7,PF08395.15,CL0176,7tm Chemosensory receptor,26.6; 26.6;,7tm_7,370,,Family
96,8TM_micro,PF17028.8,,8TM Microsporidial transmembrane domain,25; 24.6;,8TM_micro,255,,Family
97,A-2_8-polyST,PF07388.14,CL0113,"Alpha-2,8-polysialyltransferase (POLYST)",23.3; 23.3;,A-2_8-polyST,310,,Family
98,A1_Propeptide,PF07966.15,,A1 Propeptide,20.5; 20.5;,A1_Propeptide,27,,Motif
99,A2L_zn_ribbon,PF08792.13,CL0167,A2L zinc ribbon domain,22.9; 22.9;,A2L_zn_ribbon,33,,Domain
100,A2M,PF00207.25,CL0159,Alpha-2-macroglobulin family,21; 21;,A2M,92,,Family
101,A2M_BRD,PF07703.17,CL0159,Alpha-2-macroglobulin bait region domain,22.7; 22.7;,A2M_BRD,138,,Domain
102,A2M_recep,PF07677.17,CL0159,A-macroglobulin receptor binding domain,21.7; 21.7;,A2M_recep,94,,Domain
103,AA9,PF03443.17,CL0159,Auxiliary Activity family 9 (formerly GH61),27.8; 27.8;,AA9,205,,Family
104,AAA,PF00004.32,CL0023,ATPase family associated with various cellular activities (AAA),21.2; 21.2;,AAA,132,,Domain
105,AAA-ATPase_like,PF09820.12,CL0023,Predicted AAA-ATPase,26.1; 26.1;,AAA-ATPase_like,280,,Family
106,AAA_10,PF12846.10,CL0023,AAA-like domain,27.5; 27.5;,AAA_10,362,,Domain
107,AAA_11,PF13086.9,CL0023,AAA domain,27; 27;,AAA_11,261,,Domain
108,AAA_12,PF13087.9,CL0023,AAA domain,27; 27;,AAA_12,199,,Domain
109,AAA_13,PF13166.9,CL0023,AAA domain,36; 36;,AAA_13,714,,Domain
110,AAA_14,PF13173.9,CL0023,AAA domain,27; 27;,AAA_14,130,,Family
111,AAA_15,PF13175.9,CL0023,AAA ATPase domain,32.1; 32.1;,AAA_15,374,,Domain
112,AAA_16,PF13191.9,CL0023,AAA ATPase domain,32.6; 32.6;,AAA_16,170,,Domain
113,AAA_17,PF13207.9,CL0023,AAA domain,27; 27;,AAA_17,136,,Domain
114,AAA_18,PF13238.9,CL0023,AAA domain,29.4; 29.4;,AAA_18,129,,Domain
115,AAA_19,PF13245.9,CL0023,AAA domain,25.1; 25.1;,AAA_19,147,,Domain
116,AAA_2,PF07724.17,CL0023,AAA domain (Cdc48 subfamily),27; 27;,AAA_2,171,,Domain
117,AAA_21,PF13304.9,CL0023,"AAA domain, putative AbiEii toxin, Type IV TA system",27; 27;,AAA_21,304,,Domain
118,AAA_22,PF13401.9,CL0023,AAA domain,27; 27;,AAA_22,137,,Domain
119,AAA_23,PF13476.9,CL0023,AAA domain,27; 27;,AAA_23,200,,Domain
120,AAA_24,PF13479.9,CL0023,AAA domain,27; 27;,AAA_24,196,,Domain
121,AAA_25,PF13481.9,CL0023,AAA domain,27; 27;,AAA_25,194,,Domain
122,AAA_26,PF13500.9,CL0023,AAA domain,27; 27;,AAA_26,198,,Domain
123,AAA_27,PF13514.9,CL0023,AAA domain,22; 22;,AAA_27,207,,Domain
124,AAA_28,PF13521.9,CL0023,AAA domain,27; 27;,AAA_28,163,,Domain
125,AAA_29,PF13555.9,CL0023,P-loop containing region of AAA domain,27; 27;,AAA_29,61,,Domain
126,AAA_3,PF07726.14,CL0023,ATPase family associated with various cellular activities (AAA),27; 27;,AAA_3,131,,Domain
127,AAA_30,PF13604.9,CL0023,AAA domain,27; 27;,AAA_30,192,,Domain
128,AAA_31,PF13614.9,CL0023,AAA domain,27; 27;,AAA_31,177,,Domain
129,AAA_32,PF13654.9,CL0023,"LonB-like, AAA domain",21; 21;,AAA_32,133,,Domain
130,AAA_33,PF13671.9,CL0023,AAA domain,27; 27;,AAA_33,143,,Domain
131,AAA_34,PF13872.9,CL0023,P-loop containing NTP hydrolase pore-1,27; 27;,AAA_34,302,,Domain
132,AAA_35,PF14516.9,CL0023,AAA-like domain,27; 27;,AAA_35,331,,Family
133,AAA_5,PF07728.17,CL0023,AAA domain (dynein-related subfamily),22; 22;,AAA_5,138,,Domain
134,AAA_6,PF12774.10,CL0023,Hydrolytic ATP binding site of dynein motor region,25.2; 25.2;,AAA_6,327,,Domain
135,AAA_7,PF12775.10,CL0023,P-loop containing dynein motor region,25.8; 25.8;,AAA_7,181,,Domain
136,AAA_8,PF12780.10,CL0023,P-loop containing dynein motor region D4,25.6; 25.6;,AAA_8,259,,Domain
137,AAA_9,PF12781.10,CL0023,ATP-binding dynein motor region,27.4; 27.4;,AAA_9,222,,Domain
138,AAA_PrkA,PF08298.14,CL0023,PrkA AAA domain,25; 25;,AAA_PrkA,358,,Domain
139,AAA_assoc,PF14363.9,,Domain associated at C-terminal with AAA,26.4; 26.4;,AAA_assoc,96,,Family
140,AAA_assoc_2,PF16193.8,CL0671,AAA C-terminal domain,34.3; 34.3;,AAA_assoc_2,82,,Family
141,AAA_assoc_C,PF09821.12,,C-terminal AAA-associated domain,27.6; 27.6;,AAA_assoc_C,119,,Domain
142,AAA_lid_1,PF17857.4,CL0671,AAA+ lid domain,21.3; 21.3;,AAA_lid_1,100,,Domain
143,AAA_lid_10,PF17872.4,CL0671,AAA lid domain,23.2; 23.2;,AAA_lid_10,99,,Domain
144,AAA_lid_11,PF18198.4,CL0671,Dynein heavy chain AAA lid domain,31; 31;,AAA_lid_11,139,,Domain
145,AAA_lid_2,PF17863.4,CL0671,AAA lid domain,22.7; 22.7;,AAA_lid_2,73,,Domain
146,AAA_lid_3,PF17862.4,CL0671,AAA+ lid domain,27.2; 27.2;,AAA_lid_3,45,,Domain
147,AAA_lid_4,PF17864.4,CL0671,RuvB AAA lid domain,27; 27;,AAA_lid_4,74,,Domain
148,AAA_lid_5,PF17865.4,CL0671,Midasin AAA lid domain,22.7; 22.7;,AAA_lid_5,106,,Domain
149,AAA_lid_6,PF17866.4,CL0671,AAA lid domain,24.3; 24.3;,AAA_lid_6,61,,Domain
150,AAA_lid_7,PF17867.4,CL0671,Midasin AAA lid domain,22.7; 22.7;,AAA_lid_7,107,,Domain
151,AAA_lid_8,PF17868.4,CL0671,AAA lid domain,22.8; 22.8;,AAA_lid_8,72,,Domain
152,AAA_lid_9,PF17871.4,CL0671,AAA lid domain,22.8; 22.8;,AAA_lid_9,104,,Domain
153,AAL_decarboxy,PF03306.16,CL0615,Alpha-acetolactate decarboxylase,25; 25;,AAL_decarboxy,219,,Domain
154,AAR2,PF05282.14,CL0020,AAR2 protein,23.6; 23.6;,AAR2,369,,Repeat
155,AARP2CN,PF08142.15,,AARP2CN (NUC121) domain,23.8; 23.8;,AARP2CN,86,,Domain
156,AAT,PF03417.19,CL0052,Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase,23.2; 23.2;,AAT,227,,Domain
157,AATF-Che1,PF13339.9,,Apoptosis antagonizing transcription factor,24.7; 24.7;,AATF-Che1,137,,Family
158,AATase,PF07247.15,CL0149,Alcohol acetyltransferase,22; 22;,AATase,500,,Family
159,AA_kinase,PF00696.31,,Amino acid kinase family,24.9; 24.9;,AA_kinase,241,,Family
160,AA_permease,PF00324.24,CL0062,Amino acid permease,24.6; 24.6;,AA_permease,479,,Domain
161,AA_permease_2,PF13520.9,CL0062,Amino acid permease,27; 27;,AA_permease_2,427,,Family
162,AA_permease_C,PF13906.9,CL0062,C-terminus of AA_permease,27; 27;,AA_permease_C,51,,Domain
163,AA_permease_N,PF08403.13,,Amino acid permease N-terminal,21; 21;,AA_permease_N,70,,Family
164,AA_synth,PF06684.14,,Amino acid synthesis,27; 27;,AA_synth,176,,Family
165,ABA4-like,PF14108.9,,ABA DEFICIENT 4-like,27; 27;,ABA4-like,127,,Family
166,ABATE,PF07336.14,,Putative stress-induced transcription regulator,24.4; 24.4;,ABATE,128,,Family
167,ABA_GPCR,PF12430.11,,Abscisic acid G-protein coupled receptor,22.1; 22.1;,ABA_GPCR,182,,Family
168,ABA_WDS,PF02496.19,,ABA/WDS induced protein,25; 25;,ABA_WDS,78,,Family
169,ABC-3,PF00950.20,CL0142,ABC 3 transport family,20.1; 20.1;,ABC-3,258,,Family
170,ABC1,PF03109.19,CL0016,ABC1 atypical kinase-like domain,22.9; 22.9;,ABC1,244,,Domain
171,ABC2_membrane,PF01061.27,CL0181,ABC-2 type transporter,26.9; 26.9;,ABC2_membrane,210,,Family
172,ABC2_membrane_2,PF12679.10,CL0181,ABC-2 family transporter protein,27.2; 27.2;,ABC2_membrane_2,288,,Domain
173,ABC2_membrane_3,PF12698.10,CL0181,ABC-2 family transporter protein,31.6; 31.6;,ABC2_membrane_3,346,,Family
174,ABC2_membrane_4,PF12730.10,CL0181,ABC-2 family transporter protein,27; 27;,ABC2_membrane_4,179,,Family
175,ABC2_membrane_5,PF13346.9,CL0181,ABC-2 family transporter protein,25; 25;,ABC2_membrane_5,205,,Family
176,ABC2_membrane_6,PF06182.14,CL0181,ABC-2 family transporter protein,22; 22;,ABC2_membrane_6,229,,Family
177,ABC2_membrane_7,PF19055.3,CL0181,ABC-2 type transporter,22.7; 22.7;,ABC2_membrane_7,409,,Family
178,ABC_ATPase,PF09818.12,CL0023,ATPase of the ABC class,19.8; 19.8;,ABC_ATPase,283,,Domain
179,ABC_N,PF20446.1,,ATPase of the ABC class N-terminal,26.5; 26.5;,ABC_N,163,,Domain
180,ABC_cobalt,PF09819.12,,"ABC-type cobalt transport system, permease component",25.2; 25.2;,ABC_cobalt,121,,Family
181,ABC_export,PF16962.8,CL0181,Putative ABC exporter,29.7; 29.7;,ABC_export,533,,Family
182,ABC_membrane,PF00664.26,CL0241,ABC transporter transmembrane region,28; 21.7;,ABC_membrane,274,,Family
183,ABC_membrane_2,PF06472.18,CL0241,ABC transporter transmembrane region 2,24.4; 24.4;,ABC_membrane_2,269,,Family
184,ABC_membrane_3,PF13748.9,CL0241,ABC transporter transmembrane region,27; 27;,ABC_membrane_3,235,,Family
185,ABC_sub_bind,PF04392.15,CL0144,ABC transporter substrate binding protein,25.9; 25.9;,ABC_sub_bind,293,,Family
186,ABC_toxin_N,PF20220.1,,ABC toxin N-terminal region,27; 27;,ABC_toxin_N,124,,Family
187,ABC_tran,PF00005.30,CL0023,ABC transporter,25; 25;,ABC_tran,137,Chromo,Domain
188,ABC_tran_2,PF16949.8,CL0181,Putative ATP-binding cassette,25.7; 25.7;,ABC_tran_2,542,,Family
189,ABC_tran_CTD,PF16326.8,,ABC transporter C-terminal domain,32; 32;,ABC_tran_CTD,69,,Coiled-coil
190,ABC_tran_Xtn,PF12848.10,CL0023,ABC transporter,25.9; 25.9;,ABC_tran_Xtn,85,,Domain
191,ABC_trans_CmpB,PF06541.14,,Putative ABC-transporter type IV,25.9; 25.9;,ABC_trans_CmpB,150,,Family
192,ABC_trans_N,PF14510.9,,ABC-transporter N-terminal,25.4; 25.4;,ABC_trans_N,81,,Domain
193,ABC_trans_aux,PF03886.16,CL0342,ABC-type transport auxiliary lipoprotein component,26; 26;,ABC_trans_aux,161,,Family
194,ABC_transp_aux,PF09822.12,CL0014,ABC-type uncharacterized transport system,34.7; 34.7;,ABC_transp_aux,265,,Family
195,ABG_transport,PF03806.16,CL0182,AbgT putative transporter family,27; 27;,ABG_transport,502,,Family
196,ABHD18,PF09752.12,CL0028,Alpha/beta hydrolase domain containing 18,21; 21;,ABHD18,352,,Family
197,ABM,PF03992.19,CL0032,Antibiotic biosynthesis monooxygenase,23.1; 20.9;,ABM,78,,Domain
198,ACAS_N,PF16177.8,CL0378,Acetyl-coenzyme A synthetase N-terminus,27; 27;,ACAS_N,55,,Family
199,ACBP,PF00887.22,CL0632,Acyl CoA binding protein,28.3; 28.3;,ACBP,82,,Domain
200,ACCA,PF03255.17,CL0127,Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit,23; 23;,ACCA,144,,Family
201,ACC_central,PF08326.15,,"Acetyl-CoA carboxylase, central region",23.2; 23.2;,ACC_central,726,,Family
202,ACC_epsilon,PF13822.9,,Acyl-CoA carboxylase epsilon subunit,25; 25;,ACC_epsilon,61,,Family
203,ACD,PF16671.8,,Actin cross-linking domain,27; 27;,ACD,386,,Domain
204,ACDC,PF14733.9,,AP2-coincident C-terminal,22; 22;,ACDC,93,,Family
205,ACDH_C,PF09317.14,,"Acyl-CoA dehydrogenase, C-terminal, bacterial type",25; 25;,ACDH_C,284,,Domain
206,ACI44,PF15270.9,CL0083,Metallo-carboxypeptidase inhibitor,27; 27;,ACI44,65,,Family
207,ACOX,PF01756.22,CL0087,Acyl-CoA oxidase,22.1; 22.1;,ACOX,181,,Family
208,ACP,PF06857.14,,Malonate decarboxylase delta subunit (MdcD),25.1; 25.1;,ACP,83,,Family
209,ACP53EA,PF06313.14,,Drosophila ACP53EA protein,25; 25;,ACP53EA,90,,Family
210,ACPS,PF01648.23,CL0670,4'-phosphopantetheinyl transferase superfamily,25; 25;,ACPS,114,,Domain
211,ACP_PD,PF04336.15,,Acyl carrier protein phosphodiesterase,27; 27;,ACP_PD,105,,Family
212,ACP_syn_III,PF08545.13,CL0046,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,24; 24;,ACP_syn_III,80,,Domain
213,ACP_syn_III_C,PF08541.13,CL0046,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,26.6; 26.6;,ACP_syn_III_C,90,,Domain
214,ACR_tran,PF00873.22,CL0322,AcrB/AcrD/AcrF family,28; 28;,ACR_tran,1021,,Family
215,ACS_CODH_B_C,PF19436.2,,ACS/CODH beta subunit C-terminal,25; 25;,ACS_CODH_B_C,245,,Domain
216,ACT,PF01842.28,CL0070,ACT domain,27; 27;,ACT,66,,Domain
217,ACTH_assoc,PF16102.8,,ACTH-associated domain,27; 14.4;,ACTH_assoc,28,,Family
218,ACTH_domain,PF00976.21,,Corticotropin ACTH domain,27; 15.4;,ACTH_domain,19,,Family
219,ACTL7A_N,PF16840.8,,Actin-like protein 7A N-terminus,27; 27;,ACTL7A_N,65,,Domain
220,ACT_3,PF10000.12,CL0070,ACT domain,25; 25;,ACT_3,70,,Domain
221,ACT_4,PF13291.9,CL0070,ACT domain,27; 27;,ACT_4,80,,Domain
222,ACT_5,PF13710.9,CL0070,ACT domain,27; 27;,ACT_5,62,,Domain
223,ACT_6,PF13740.9,CL0070,ACT domain,23; 23;,ACT_6,76,,Domain
224,ACT_7,PF13840.9,CL0070,ACT domain,27; 27;,ACT_7,65,,Domain
225,ACT_8,PF19571.2,CL0070,ACT domain pair,23.5; 23.5;,ACT_8,141,,Domain
226,AC_1,PF18883.3,CL0268,Autochaperone Domain Type 1,27.1; 27.1;,AC_1,114,,Repeat
227,AC_N,PF16214.8,,Adenylyl cyclase N-terminal extracellular and transmembrane region,30.9; 30.9;,AC_N,415,,Family
228,AChE_tetra,PF08674.13,,Acetylcholinesterase tetramerisation domain,25; 25;,AChE_tetra,35,,Domain
229,AD,PF09793.12,,Anticodon-binding domain,23.4; 23.4;,AD,90,,Domain
230,ADAM17_MPD,PF16698.8,,"Membrane-proximal domain, switch, for ADAM17",26.2; 26.2;,ADAM17_MPD,62,,Domain
