family_id,description,class,heterotrophy_relevant,priority,gene_name,function_broad,ref_id
CBM38,38,CBM,FALSE,low,NA,NA,NA
CBM39,39,CBM,FALSE,low,NA,NA,NA
CBM4,4,CBM,FALSE,low,NA,NA,NA
CBM40,40,CBM,FALSE,low,NA,NA,NA
CBM41,41,CBM,FALSE,low,NA,NA,NA
CBM42,42,CBM,FALSE,low,NA,NA,NA
CBM43,43,CBM,FALSE,low,NA,NA,NA
CBM44,44,CBM,FALSE,low,NA,NA,NA
CBM45,45,CBM,FALSE,low,NA,NA,NA
CBM46,46,CBM,FALSE,low,NA,NA,NA
CBM47,47,CBM,FALSE,low,NA,NA,NA
CBM48,48,CBM,FALSE,low,NA,NA,NA
CBM49,49,CBM,FALSE,low,NA,NA,NA
CBM5,5,CBM,FALSE,low,NA,NA,NA
CBM50,50,CBM,FALSE,low,NA,NA,NA
CBM51,51,CBM,FALSE,low,NA,NA,NA
CBM52,52,CBM,FALSE,low,NA,NA,NA
CBM53,53,CBM,FALSE,low,NA,NA,NA
CBM54,54,CBM,FALSE,low,NA,NA,NA
CBM55,55,CBM,FALSE,low,NA,NA,NA
CBM56,56,CBM,FALSE,low,NA,NA,NA
CBM57,57,CBM,FALSE,low,NA,NA,NA
CBM58,58,CBM,FALSE,low,NA,NA,NA
CBM59,59,CBM,FALSE,low,NA,NA,NA
CBM6,6,CBM,FALSE,low,NA,NA,NA
CBM60,60,CBM,FALSE,low,NA,NA,NA
CBM61,61,CBM,FALSE,low,NA,NA,NA
CBM62,62,CBM,FALSE,low,NA,NA,NA
CBM63,63,CBM,FALSE,low,NA,NA,NA
CBM64,64,CBM,FALSE,low,NA,NA,NA
CBM65,65,CBM,FALSE,low,NA,NA,NA
CBM66,66,CBM,FALSE,low,NA,NA,NA
CBM67,67,CBM,FALSE,low,NA,NA,NA
CBM68,68,CBM,FALSE,low,NA,NA,NA
CBM69,69,CBM,FALSE,low,NA,NA,NA
CBM7,7,CBM,FALSE,low,NA,NA,NA
CBM70,70,CBM,FALSE,low,NA,NA,NA
CBM71,71,CBM,FALSE,low,NA,NA,NA
CBM72,72,CBM,FALSE,low,NA,NA,NA
CBM73,73,CBM,FALSE,low,NA,NA,NA
CBM74,74,CBM,FALSE,low,NA,NA,NA
CBM75,75,CBM,FALSE,low,NA,NA,NA
CBM76,76,CBM,FALSE,low,NA,NA,NA
CBM77,77,CBM,FALSE,low,NA,NA,NA
CBM78,78,CBM,FALSE,low,NA,NA,NA
CBM79,79,CBM,FALSE,low,NA,NA,NA
CBM8,8,CBM,FALSE,low,NA,NA,NA
CBM80,80,CBM,FALSE,low,NA,NA,NA
CBM81,81,CBM,FALSE,low,NA,NA,NA
CBM82,82,CBM,FALSE,low,NA,NA,NA
CBM83,83,CBM,FALSE,low,NA,NA,NA
CBM84,84,CBM,FALSE,low,NA,NA,NA
CBM85,85,CBM,FALSE,low,NA,NA,NA
CBM86,86,CBM,FALSE,low,NA,NA,NA
CBM87,87,CBM,FALSE,low,NA,NA,NA
CBM88,88,CBM,FALSE,low,NA,NA,NA
CBM89,89,CBM,FALSE,low,NA,NA,NA
CBM9,9,CBM,FALSE,low,NA,NA,NA
CBM90,90,CBM,FALSE,low,NA,NA,NA
CBM91,91,CBM,FALSE,low,NA,NA,NA
CBM92,92,CBM,FALSE,low,NA,NA,NA
CBM93,93,CBM,FALSE,low,NA,NA,NA
CBM94,94,CBM,FALSE,low,NA,NA,NA
CBM95,95,CBM,FALSE,low,NA,NA,NA
CBM96,96,CBM,FALSE,low,NA,NA,NA
CBM97,97,CBM,FALSE,low,NA,NA,NA
CBM98,98,CBM,FALSE,low,NA,NA,NA
CBM99,99,CBM,FALSE,low,NA,NA,NA
CE0,Non-Classified Sequences,CE,TRUE,high,NA,NA,NA
CE1,1,CE,TRUE,high,NA,NA,NA
CE10,10,CE,TRUE,high,NA,NA,NA
CE11,11,CE,TRUE,high,NA,NA,NA
CE12,12,CE,TRUE,high,NA,NA,NA
CE13,13,CE,TRUE,high,NA,NA,NA
CE14,14,CE,TRUE,high,NA,NA,NA
CE15,15,CE,TRUE,high,NA,NA,NA
CE16,16,CE,TRUE,high,NA,NA,NA
CE17,17,CE,TRUE,high,NA,NA,NA
CE18,18,CE,TRUE,high,NA,NA,NA
CE19,19,CE,TRUE,high,NA,NA,NA
CE2,2,CE,TRUE,high,NA,NA,NA
CE20,20,CE,TRUE,high,NA,NA,NA
CE21,21,CE,TRUE,high,NA,NA,NA
CE3,3,CE,TRUE,high,NA,NA,NA
CE4,4,CE,TRUE,high,NA,NA,NA
CE5,5,CE,TRUE,high,NA,NA,NA
CE6,6,CE,TRUE,high,NA,NA,NA
CE7,7,CE,TRUE,high,NA,NA,NA
CE8,8,CE,TRUE,high,NA,NA,NA
CE9,9,CE,TRUE,high,NA,NA,NA
GH123,123456,GH,TRUE,high,NA,NA,NA
GH13,1.23456789101112e+88,GH,TRUE,high,NA,NA,NA
GH130,1.23456789101112e+22,GH,TRUE,high,NA,NA,NA
GH16,1.23456789101112e+44,GH,TRUE,high,NA,NA,NA
GH19,12,GH,TRUE,high,NA,NA,NA
GH2,1.23456789101112e+36,GH,TRUE,high,NA,NA,NA
GH30,123456789101112,GH,TRUE,high,NA,NA,NA
GH31,1.23456789101112e+30,GH,TRUE,high,NA,NA,NA
GH43,1.23456789101112e+70,GH,TRUE,high,NA,NA,NA
GH45,1234,GH,TRUE,high,NA,NA,NA
GH5,1.24578910111213e+102,GH,TRUE,high,NA,NA,NA
GH51,1234567891011121408,GH,TRUE,high,NA,NA,NA
GH55,123,GH,TRUE,high,NA,NA,NA
GH57,12345678910,GH,TRUE,high,NA,NA,NA
GH68,12,GH,TRUE,high,NA,NA,NA
GT0,Non-Classified Sequences,GT,FALSE,low,NA,NA,NA
GT1,1,GT,FALSE,low,NA,NA,NA
GT10,10,GT,FALSE,low,NA,NA,NA
GT100,100,GT,FALSE,low,NA,NA,NA
GT101,101,GT,FALSE,low,NA,NA,NA
GT102,102,GT,FALSE,low,NA,NA,NA
GT103,103,GT,FALSE,low,NA,NA,NA
GT104,104,GT,FALSE,low,NA,NA,NA
GT105,105,GT,FALSE,low,NA,NA,NA
GT106,106,GT,FALSE,low,NA,NA,NA
GT107,107,GT,FALSE,low,NA,NA,NA
GT108,108,GT,FALSE,low,NA,NA,NA
GT109,109,GT,FALSE,low,NA,NA,NA
GT11,11,GT,FALSE,low,NA,NA,NA
GT110,110,GT,FALSE,low,NA,NA,NA
GT111,111,GT,FALSE,low,NA,NA,NA
GT112,112,GT,FALSE,low,NA,NA,NA
GT113,113,GT,FALSE,low,NA,NA,NA
GT114,114,GT,FALSE,low,NA,NA,NA
GT115,115,GT,FALSE,low,NA,NA,NA
GT116,116,GT,FALSE,low,NA,NA,NA
GT117,117,GT,FALSE,low,NA,NA,NA
GT118,118,GT,FALSE,low,NA,NA,NA
GT119,119,GT,FALSE,low,NA,NA,NA
GT12,12,GT,FALSE,low,NA,NA,NA
GT120,120,GT,FALSE,low,NA,NA,NA
GT121,121,GT,FALSE,low,NA,NA,NA
GT122,122,GT,FALSE,low,NA,NA,NA
GT123,123,GT,FALSE,low,NA,NA,NA
GT124,124,GT,FALSE,low,NA,NA,NA
GT125,125,GT,FALSE,low,NA,NA,NA
GT126,126,GT,FALSE,low,NA,NA,NA
GT127,127,GT,FALSE,low,NA,NA,NA
GT128,128,GT,FALSE,low,NA,NA,NA
GT129,129,GT,FALSE,low,NA,NA,NA
GT13,13,GT,FALSE,low,NA,NA,NA
GT130,130,GT,FALSE,low,NA,NA,NA
GT131,131,GT,FALSE,low,NA,NA,NA
GT132,132,GT,FALSE,low,NA,NA,NA
GT133,133,GT,FALSE,low,NA,NA,NA
GT134,134,GT,FALSE,low,NA,NA,NA
GT135,135,GT,FALSE,low,NA,NA,NA
GT136,136,GT,FALSE,low,NA,NA,NA
GT137,137,GT,FALSE,low,NA,NA,NA
GT138,138,GT,FALSE,low,NA,NA,NA
GT139,139,GT,FALSE,low,NA,NA,NA
GT14,14,GT,FALSE,low,NA,NA,NA
GT140,140,GT,FALSE,low,NA,NA,NA
GT15,15,GT,FALSE,low,NA,NA,NA
GT16,16,GT,FALSE,low,NA,NA,NA
GT17,17,GT,FALSE,low,NA,NA,NA
GT18,18,GT,FALSE,low,NA,NA,NA
GT19,19,GT,FALSE,low,NA,NA,NA
GT2,2,GT,FALSE,low,NA,NA,NA
GT20,20,GT,FALSE,low,NA,NA,NA
GT21,21,GT,FALSE,low,NA,NA,NA
GT22,22,GT,FALSE,low,NA,NA,NA
GT23,23,GT,FALSE,low,NA,NA,NA
GT24,24,GT,FALSE,low,NA,NA,NA
GT25,25,GT,FALSE,low,NA,NA,NA
GT26,26,GT,FALSE,low,NA,NA,NA
GT27,27,GT,FALSE,low,NA,NA,NA
GT28,28,GT,FALSE,low,NA,NA,NA
GT29,29,GT,FALSE,low,NA,NA,NA
GT3,3,GT,FALSE,low,NA,NA,NA
GT30,30,GT,FALSE,low,NA,NA,NA
GT31,31,GT,FALSE,low,NA,NA,NA
GT32,32,GT,FALSE,low,NA,NA,NA
GT33,33,GT,FALSE,low,NA,NA,NA
GT34,34,GT,FALSE,low,NA,NA,NA
GT35,35,GT,FALSE,low,NA,NA,NA
GT36,36,GT,FALSE,low,NA,NA,NA
GT37,37,GT,FALSE,low,NA,NA,NA
GT38,38,GT,FALSE,low,NA,NA,NA
GT39,39,GT,FALSE,low,NA,NA,NA
GT4,4,GT,FALSE,low,NA,NA,NA
GT40,40,GT,FALSE,low,NA,NA,NA
GT41,41,GT,FALSE,low,NA,NA,NA
GT42,42,GT,FALSE,low,NA,NA,NA
GT43,43,GT,FALSE,low,NA,NA,NA
GT44,44,GT,FALSE,low,NA,NA,NA
GT45,45,GT,FALSE,low,NA,NA,NA
GT46,46,GT,FALSE,low,NA,NA,NA
GT47,47,GT,FALSE,low,NA,NA,NA
GT48,48,GT,FALSE,low,NA,NA,NA
GT49,49,GT,FALSE,low,NA,NA,NA
GT5,5,GT,FALSE,low,NA,NA,NA
GT50,50,GT,FALSE,low,NA,NA,NA
GT51,51,GT,FALSE,low,NA,NA,NA
GT52,52,GT,FALSE,low,NA,NA,NA
GT53,53,GT,FALSE,low,NA,NA,NA
GT54,54,GT,FALSE,low,NA,NA,NA
GT55,55,GT,FALSE,low,NA,NA,NA
GT56,56,GT,FALSE,low,NA,NA,NA
GT57,57,GT,FALSE,low,NA,NA,NA
GT58,58,GT,FALSE,low,NA,NA,NA
GT59,59,GT,FALSE,low,NA,NA,NA
GT6,6,GT,FALSE,low,NA,NA,NA
GT60,60,GT,FALSE,low,NA,NA,NA
GT61,61,GT,FALSE,low,NA,NA,NA
GT62,62,GT,FALSE,low,NA,NA,NA
GT63,63,GT,FALSE,low,NA,NA,NA
GT64,64,GT,FALSE,low,NA,NA,NA
GT65,65,GT,FALSE,low,NA,NA,NA
GT66,66,GT,FALSE,low,NA,NA,NA
GT67,67,GT,FALSE,low,NA,NA,NA
GT68,68,GT,FALSE,low,NA,NA,NA
GT69,69,GT,FALSE,low,NA,NA,NA
GT7,7,GT,FALSE,low,NA,NA,NA
GT70,70,GT,FALSE,low,NA,NA,NA
GT71,71,GT,FALSE,low,NA,NA,NA
GT72,72,GT,FALSE,low,NA,NA,NA
GT73,73,GT,FALSE,low,NA,NA,NA
GT74,74,GT,FALSE,low,NA,NA,NA
GT75,75,GT,FALSE,low,NA,NA,NA
GT76,76,GT,FALSE,low,NA,NA,NA
GT77,77,GT,FALSE,low,NA,NA,NA
GT78,78,GT,FALSE,low,NA,NA,NA
GT79,79,GT,FALSE,low,NA,NA,NA
GT8,8,GT,FALSE,low,NA,NA,NA
GT80,80,GT,FALSE,low,NA,NA,NA
GT81,81,GT,FALSE,low,NA,NA,NA
GT82,82,GT,FALSE,low,NA,NA,NA
GT83,83,GT,FALSE,low,NA,NA,NA
GT84,84,GT,FALSE,low,NA,NA,NA
GT85,85,GT,FALSE,low,NA,NA,NA
GT86,86,GT,FALSE,low,NA,NA,NA
GT87,87,GT,FALSE,low,NA,NA,NA
GT88,88,GT,FALSE,low,NA,NA,NA
GT89,89,GT,FALSE,low,NA,NA,NA
GT9,9,GT,FALSE,low,NA,NA,NA
GT90,90,GT,FALSE,low,NA,NA,NA
GT91,91,GT,FALSE,low,NA,NA,NA
GT92,92,GT,FALSE,low,NA,NA,NA
GT93,93,GT,FALSE,low,NA,NA,NA
GT94,94,GT,FALSE,low,NA,NA,NA
GT95,95,GT,FALSE,low,NA,NA,NA
GT96,96,GT,FALSE,low,NA,NA,NA
GT97,97,GT,FALSE,low,NA,NA,NA
GT98,98,GT,FALSE,low,NA,NA,NA
GT99,99,GT,FALSE,low,NA,NA,NA
PL1,12345678910111212,PL,TRUE,high,NA,NA,NA
PL10,123,PL,TRUE,high,NA,NA,NA
PL11,12,PL,TRUE,high,NA,NA,NA
PL12,123,PL,TRUE,high,NA,NA,NA
PL14,12345,PL,TRUE,high,NA,NA,NA
PL15,12,PL,TRUE,high,NA,NA,NA
PL17,123456,PL,TRUE,high,NA,NA,NA
PL2,12,PL,TRUE,high,NA,NA,NA
PL22,12,PL,TRUE,high,NA,NA,NA
PL3,12345,PL,TRUE,high,NA,NA,NA
PL4,12345,PL,TRUE,high,NA,NA,NA
PL6,12,PL,TRUE,high,NA,NA,NA
PL7,12345,PL,TRUE,high,NA,NA,NA
PL8,1234,PL,TRUE,high,NA,NA,NA
PL9,1234,PL,TRUE,high,NA,NA,NA
