gene_name,gene_alias,function_broad,function_specific,ko_id,kegg_name_short,kegg_name_full,kegg_classification_broad,pfam_id,cazy_family,cazy_class,ref_ids,dois,years,organism_studied,ko_match_confidence,n_refs,notes
kleptoplasty / sequestered chloroplasts,kleptoplast retention,Assimilation,Kleptoplasty as heterotrophic assimilation strategy,NA,NA,NA,NA,NA,NA,NA,Johnson2011,10.1111/j.1550-7408.2011.00545.x,2011,Ciliates (mixotrophic),unmatched,1,Ciliates sequester functional chloroplasts from algal prey via phagocytosis; kleptoplasty extends C assimilation
nitrate reductase,NR;NIA1,Assimilation,Nitrate reduction / nitrogen acquisition,K10534,NR,nitrate reductase (NAD(P)H),Nutrient processing,NA,NA,NA,Liu2015a,10.3389/fmicb.2015.00631,2015,Prymnesium parvum,exact,1,Upregulated under N limitation; key N assimilation gene
nitrogen assimilation (dinoflagellate),NR;GS;GOGAT,Assimilation,Nitrogen uptake and assimilation pathways,K10534,NR,nitrate reductase (NAD(P)H),Nutrient processing,NA,NA,NA,DagenaisBellefeuille2013,10.3389/fmicb.2013.00369,2013,Dinoflagellates (diverse),exact,1,Review of nitrogen acquisition strategies including phagotrophy as N source in dinoflagellates
alkaline phosphatase (eukaryotic),ALPL,Assimilation,Organic phosphorus remineralization,K01077,NA,NA,NA,PF00245.23,NA,NA,Zielinski2016,10.1371/journal.pone.0160929,2016,Marine eukaryotes (Amazon Plume),exact,1,Biogeochemically relevant; eukaryotic phosphatase transcripts elevated in plume
C/N acquisition (nanoSIMS + gene expression),phagotrophy C;N uptake,Assimilation,Phagotrophic C and N assimilation rates,NA,NA,NA,NA,NA,NA,NA,Carpenter2018,10.3389/fmars.2018.00157,2018,Prymnesium parvum,unmatched,1,nanoSIMS shows phagotrophy primary source of C and N under nutrient-limited conditions
photosynthetic energy allocation,PSI;PSII;Calvin cycle,Assimilation,Photosynthetic energy partitioning (reference for mixotrophy context),K08905,NA,NA,NA,NA,NA,NA,Halsey2015,10.1146/annurev-marine-010814-015813,2015,Marine phytoplankton,exact,1,Context for understanding photosynthesis contribution to mixotrophic C balance
light-harvesting chlorophyll a/b binding protein,LHCA;LHCB,Assimilation,Photosynthetic light harvesting (suppressed under prey),K08905,NA,NA,NA,NA,NA,NA,Lie2017,10.1186/s12864-017-3549-1,2017,Ochromonas sp. (Chrysophyceae),exact,1,Downregulated when prey abundant; inverse of phagocytosis genes
urease,UreC,Assimilation,Urea nitrogen acquisition,K01427,URE,urease,Nutrient processing,NA,NA,NA,Zielinski2016,10.1371/journal.pone.0160929,2016,Marine eukaryotes (Amazon Plume),exact,1,Urea as N source for protists in riverine plume environments
marker gene set (ML trophic),trophic markers,Detection,Machine-learning trophic mode inference,NA,NA,NA,NA,NA,NA,NA,Lie2022,10.1073/pnas.2100916119,2022,Marine protist communities (open ocean),unmatched,1,Marker genes for predicting heterotrophy/mixotrophy/autotrophy from metatranscriptomes
feeding behavior (Oxytoxum),dinoflagellate feeding behavior,Detection,Prey capture behavior + phylogenomic context,NA,NA,NA,NA,NA,NA,NA,Cooney2024,10.1111/jeu.13050,2024,Oxytoxum lohmannii,unmatched,1,Phylogenomics reveals heterotrophic dinoflagellate feeding strategies; behavior-based prey detection
flagellar beat frequency,NA,Detection,Prey encounter rate (hydrodynamics),NA,NA,NA,NA,NA,NA,NA,Kiorboe2024,10.1146/annurev-marine-020123-102001,2024,Marine heterotrophic flagellates,unmatched,1,Foraging biophysics reference; no gene-level or biogeochemistry
phagocytosis (Oxyrrhis model organism),Oxyrrhis marina culture,Detection,Prey recognition and capture in Oxyrrhis marina,NA,NA,NA,NA,NA,NA,NA,Lowe2011,10.1093/plankt/fbq161,2011,Oxyrrhis marina,unmatched,1,Key model organism for heterotrophic dinoflagellate prey selection and phagocytosis studies
flagellar motility genes,NA,Detection,Prey search and encounter,NA,NA,NA,NA,NA,NA,NA,Pernthaler2005,10.1038/nrmicro1180,2005,Marine bacterioplankton + protist grazers,unmatched,1,Pre-omics ecological reference; molecular mechanism not addressed
lectin (mannose-binding),MBL,Detection,Prey surface recognition,NA,NA,NA,NA,NA,NA,NA,Wootton2007,10.1111/j.1462-2920.2006.01130.x,2007,Oxyrrhis marina,unmatched,1,Only verified marine HNF prey chemoreceptor at gene level; binds bacterial surface glycans
chitinase,GH18;chitinase,Digestion,Chitin degradation from bacterial prey cell walls,NA,NA,NA,NA,GH18,GH18,NA,Eckert2013,10.1111/1462-2920.12083,2013,Freshwater protist grazers,unmatched,1,Bacteria evolve grazing resistance; chitin/cell wall carbon available to protist digestive machinery
digestive vacuole hydrolases (general),lysosomal hydrolases,Digestion,Comparative prey digestion,NA,NA,NA,NA,NA,NA,NA,Liu2016,10.1093/femsec/fiw106,2016,Ochromonas sp.; Prymnesium parvum; Chrysochromulina sp.,unmatched,1,Three species show distinct phago/photo gene expression ratios; digestion genes key differentiator
food vacuole (ingestion rate quantification),food vacuole content,Digestion,Food vacuole dynamics / ingestion quantification,NA,NA,NA,NA,NA,NA,NA,BallenSegura2018,10.1111/1758-2229.12696,2018,Mixotrophic phytoflagellates,unmatched,1,Quantitative ingestion rate ~ food vacuole content; method for calibrating phagocytosis rates
cathepsin D,CTSD,Digestion,Lysosomal aspartic protease,K01379,CTSD,cathepsin D [EC:3.4.23.5],Phagotrophy,NA,NA,NA,Massana2021,10.1038/s41396-020-00770-4,2021,Cafeteria burkhardae,exact,1,Degrades prey proteins in phagolysosome
cathepsin L,CTSL,Digestion,Lysosomal cysteine protease,K01365,CTSL,Cathepsin L,Phagotrophy,NA,NA,NA,Obiol2023,10.1186/s40168-023-01571-5,2023,HNF natural assemblages,exact,1,Lysosomal protease; upregulated during prey digestion
cathepsin L,CTSL,Digestion,Lysosomal cysteine protease,K01365,CTSL,cathepsin L [EC:3.4.22.15],Phagotrophy,NA,NA,NA,Obiol2023,10.1186/s40168-023-01571-5,2023,HNF natural assemblages,exact,1,Lysosomal protease; upregulated during prey digestion
LAMP1,CD107a;lysosomal membrane protein,Digestion,Lysosomal membrane integrity,K06824,NA,NA,NA,NA,NA,NA,Boulais2010,10.1038/msb.2010.80,2010,Dictyostelium discoideum,exact,1,Lysosomal-associated membrane protein; marks phagolysosome
cathepsin B,CTSB,Digestion,Lysosomal protease / prey protein digestion,K01363,CTSB,cathepsin B [EC:3.4.22.1],Phagotrophy,NA,NA,NA,Liu2015b,10.3389/fmicb.2015.00319,2015,Prymnesium parvum,exact,1,Induced by prey; degrades prey proteins in food vacuole
cathepsin B,CTSB,Digestion,Lysosomal protease; prey protein digestion,K01363,CTSB,cathepsin B [EC:3.4.22.1],Phagotrophy,NA,NA,NA,Massana2021,10.1038/s41396-020-00770-4,2021,Cafeteria burkhardae,exact,1,Cysteine protease active in lysosome at low pH
lysosome-phagosome fusion (mixotrophic),phagolysosome,Digestion,Phagolysosome formation in predatory mixotrophs,NA,NA,NA,NA,NA,NA,NA,Wilken2019,10.1098/rstb.2019.0090,2019,Ochromonas; predatory mixotrophs,unmatched,1,Phagolysosome fusion timing and efficiency in mixotrophic chrysophytes
V-type H+-ATPase,vATPase;V-ATPase,Digestion,Phagosome acidification,K02154,ATPeV0A ATP6N,V-type H+-transporting ATPase subunit a,Phagotrophy,NA,NA,NA,Massana2021,10.1038/s41396-020-00770-4,2021,Cafeteria burkhardae,exact,1,Acidifies phagolysosome; required for optimal hydrolase activity
V-type H+-ATPase,vATPase;V-ATPase,Digestion,Phagosome acidification,K02154,"ATPeV0A, ATP6N",V-type H+-transporting ATPase subunit a,Phagotrophy,NA,NA,NA,Massana2021,10.1038/s41396-020-00770-4,2021,Cafeteria burkhardae,exact,1,Acidifies phagolysosome; required for optimal hydrolase activity
V-type H+-ATPase subunit,ATP6V1A;VMA1,Digestion,Phagosome/lysosome acidification,K02145,"ATPeV1A, ATP6A",V-type H+-transporting ATPase subunit A,Phagotrophy,NA,NA,NA,Obiol2023,10.1186/s40168-023-01571-5,2023,HNF natural assemblages,exact,1,Pumps protons into phagolysosome
NADPH oxidase (NOX2),CYBB;gp91phox,Digestion,Reactive oxygen species generation; prey killing,K21421,NA,NA,NA,NA,NA,NA,Boulais2010,10.1038/msb.2010.80,2010,Dictyostelium discoideum,exact,1,Generates ROS in phagosome; conserved from Dictyostelium to mammals; unmapped in marine protists
mucus production / exopolysaccharide secretion,EPS;mucosphere,Egestion,Extracellular organic matter release via mucus secretion,NA,NA,NA,NA,NA,NA,NA,Larsson2022,10.1038/s41467-022-28867-8,2022,Phaeocystis-like mixotrophic protist,unmatched,1,Mucosphere production concentrates prey and DOM; heterotrophic feeding creates particulate organic matter
phytoplankton-bacteria carbon exchange,phytoplankton exudate;DOM,Osmotrophy,DOM exchange between phytoplankton and bacteria,NA,NA,NA,NA,NA,NA,NA,Focardi2025,10.1038/s41467-025-61523-5,2025,Phytoplankton-associated bacteria,unmatched,1,Bacteria exploit phytoplankton DOM; relevant for understanding osmotrophy and C flux from primary producers
dissolved organic carbon transporter,DOC transporter;SLC,Osmotrophy,DOM uptake by osmotrophy,NA,NA,NA,NA,NA,NA,NA,Balch2023,10.1126/sciadv.adf6973,2023,Emiliania huxleyi; coccolithophores,unmatched,1,Coccolithophores fix dissolved organic compounds via osmotrophy; C and N incorporated into particulate fractions
alkaline phosphatase,ALPL;PhoA,Osmotrophy,Dissolved organic phosphorus scavenging,K01077,NA,NA,NA,PF00245.23,NA,NA,Dyhrman2006,10.4319/lo.2006.51.3.1381,2006,Eukaryotic phytoplankton (coastal),exact,1,Eukaryotic phytoplankton use alkaline phosphatase to access organic P; osmotrophic nutrient acquisition
alkaline phosphatase (osmotrophy context),ALPL,Osmotrophy,Organic nutrient acquisition via osmotrophy,K01077,NA,NA,NA,NA,NA,NA,Balch2023,10.1126/sciadv.adf6973,2023,Emiliania huxleyi; coccolithophores,exact,1,Phosphatase-mediated DOM hydrolysis linked to osmotrophic C uptake
mixotrophic carbon balance (Karlodinium),phago:photo ratio,Phagocytosis,Autotrophy/heterotrophy balance in mixotrophic dinoflagellate,NA,NA,NA,NA,NA,NA,NA,Adolf2006,10.1093/plankt/fbl007,2006,Karlodinium micrum,unmatched,1,C acquisition balance: phagocytosis vs photosynthesis quantified in dinoflagellate
food vacuole biology (predatory mixotroph),food vacuole;phagosome,Phagocytosis,Cell biology of food vacuole in predatory mixotrophs,NA,NA,NA,NA,NA,NA,NA,Wilken2019,10.1098/rstb.2019.0090,2019,Ochromonas; predatory mixotrophs,unmatched,1,Cell biological detail essential for characterizing mixotrophic phagocytosis; vacuole dynamics
food vacuole / phagosome genes (general),phagocytosis gene set,Phagocytosis,Comparative phagocytosis gene expression,NA,NA,NA,NA,NA,NA,NA,Lie2018,10.1371/journal.pone.0192439,2018,Ochromonas sp. / O. sphaerocystis,unmatched,1,Two Ochromonas species show quantitatively different phago vs. photosynthesis gene expression strategies
actin,ACTB,Phagocytosis,Cytoskeletal rearrangement for prey engulfment,K05692,actin beta/gamma 1,actin beta/gamma 1,Phagotrophy,PF00022.22,NA,NA,Labarre2020,10.1002/lno.11379,2020,MAST heterotrophic flagellates,exact,1,Required for phagocytic cup formation
pallium feeding / tube feeding (dinoflagellate),pallium;peduncle;myzocytosis,Phagocytosis,Dinoflagellate extracellular and intracellular feeding mechanisms,NA,NA,NA,NA,NA,NA,NA,Hansen1999,10.1111/j.1550-7408.1999.tb04617.x,1999,Heterotrophic dinoflagellates (diverse),unmatched,1,"Comprehensive review of dinoflagellate feeding mechanisms; pallium, tube, and direct engulfment"
phagocytosis (dinoflagellate food web),dinoflagellate grazing,Phagocytosis,Dinoflagellate phagotrophy and food web role,NA,NA,NA,NA,NA,NA,NA,Jeong2010,10.1007/s12601-010-0007-2,2010,Heterotrophic and mixotrophic dinoflagellates,unmatched,1,Comprehensive overview of dinoflagellate feeding rates and food web impacts
clathrin light chain,CLTCL1,Phagocytosis,Endocytosis / phagosome coat,K04559,NA,NA,NA,PF01086.20,NA,NA,Liu2015b,10.3389/fmicb.2015.00319,2015,Prymnesium parvum,exact,1,Induced by prey availability; part of phagocytic machinery
phagocytosis (ancestral eukaryotic origin),Asgard phagocytosis genes,Phagocytosis,Evolutionary origin of eukaryotic phagocytosis,NA,NA,NA,NA,NA,NA,NA,DeAnda2026,10.1073/pnas.2516062123,2026,Asgard archaea / eukaryotic ancestor,unmatched,1,Asgard archaeal genomes contain ancestral phagocytosis-related genes; origin of eukaryotic heterotrophy
heterotrophic functional group (phagocytosis-based),constitutive heterotroph,Phagocytosis,Functional group classification by feeding mechanism,NA,NA,NA,NA,NA,NA,NA,Mitra2016,10.1016/j.protis.2016.01.003,2016,Planktonic protists (diverse),unmatched,1,Framework defining heterotrophic vs mixotrophic functional groups based on phagocytosis vs photosynthesis mechanisms
horizontally transferred genes (HGT; phagotrophy-facilitated),HGT phagotrophy,Phagocytosis,HGT acquisition via phagocytic uptake of prey DNA,NA,NA,NA,NA,NA,NA,NA,Keeling2024,10.1038/s41576-023-00688-5,2024,Eukaryotes (diverse),unmatched,1,Phagocytosis facilitates HGT; prey DNA enters host during digestion; metabolic gene acquisition
HGT (phagocytosis-enabled gene acquisition),HGT eukaryote,Phagocytosis,HGT facilitated by phagocytic uptake of prey/bacteria,NA,NA,NA,NA,NA,NA,NA,VanEtten2020,10.1016/j.tig.2020.08.006,2020,Eukaryotes (diverse),unmatched,1,Phagocytosis key mechanism enabling HGT; metabolic gene acquisition from prey
dynamin,DNM,Phagocytosis,Membrane scission / endocytosis,K01528,NA,NA,NA,PF04912.17,NA,NA,Obiol2023,10.1186/s40168-023-01571-5,2023,HNF natural assemblages,exact,1,GTPase for vesicle budding; expressed in bacterivorous HNF
dynamin,DNM;GTPase,Phagocytosis,Membrane scission during endocytosis,K01528,NA,NA,NA,PF04912.17,NA,NA,Labarre2020,10.1002/lno.11379,2020,MAST heterotrophic flagellates,exact,1,GTPase involved in vesicle budding from plasma membrane
deep ocean phagocytosis (mesopelagic),deep ocean grazing,Phagocytosis,Mesopelagic protist phagocytic grazing on prokaryotes,NA,NA,NA,NA,NA,NA,NA,Rocke2015,10.1371/journal.pone.0124505,2015,Deep ocean heterotrophic protists,unmatched,1,Heterotrophic flagellates dominate prokaryote grazing in deep water masses; key deep-sea C flux
pallium feeding / myzocytosis (Karlodinium),peduncle;pallium,Phagocytosis,Myzocytosis / pallium feeding mechanism,NA,NA,NA,NA,NA,NA,NA,Berge2008,10.3354/ame01165,2008,Karlodinium armiger,unmatched,1,Pallium feeding via extracellular digestion; K. armiger feeds on prey >15 µm
myzocytosis feeding apparatus,myzocytosis;conoid,Phagocytosis,Myzozoan extracellular/intracellular feeding machinery,NA,NA,NA,NA,NA,NA,NA,Waller2024,10.1128/mmbr.00197-22,2024,Myzozoa (Apicomplexa; Dinoflagellata),unmatched,1,"Myzozoan-specific feeding structures (conoid, rhoptries) evolved from ancestral phagocytic machinery"
phagocytosis of picocyanobacteria,Prochlorococcus grazing;SIP,Phagocytosis,Phagocytic grazing on picophytoplankton,NA,NA,NA,NA,NA,NA,NA,FriasLopez2009,10.1111/j.1462-2920.2008.01793.x,2009,Open-ocean protist grazers,unmatched,1,SIP-based identification of grazers; phagocytosis of Prochlorococcus by heterotrophic nanoflagellates
protist-prokaryote interaction (symbiosis/predation),endosymbiosis;phagocytosis,Phagocytosis,Phagocytosis and symbiosis continuum in protists,NA,NA,NA,NA,NA,NA,NA,Gast2009,10.1016/j.tim.2009.09.001,2009,Marine protists (diverse),unmatched,1,Phagocytosis as continuum from predation to endosymbiosis; key ecological framework
endocytosis (symbiont uptake),phagocytosis;endosymbiosis,Phagocytosis,Phagocytosis as route to endosymbiosis,NA,NA,NA,NA,NA,NA,NA,Husnik2021,10.1016/j.cub.2021.05.049,2021,Protists with bacterial/archaeal symbionts,unmatched,1,Symbiosis initiated via phagocytosis; uptake and retention of bacterial/archaeal endosymbionts
phagocytosis (Micromonas pusilla),Micromonas phagotrophy,Phagocytosis,Phagocytosis in picoeukaryotic green alga,NA,NA,NA,NA,NA,NA,NA,McKieKrisberg2014,10.1038/ismej.2014.16,2014,Micromonas pusilla,unmatched,1,Unexpected phagotrophy in a traditionally autotrophic green alga; food vacuole formation observed
clathrin heavy chain,CHC;CLTC,Phagocytosis,Phagosome formation,K04646,CLTC,Clathrin heavy chain,Phagotrophy,PF09268.13,NA,NA,Labarre2020; Massana2021; Obiol2023,10.1002/lno.11379; 10.1038/s41396-020-00770-4; 10.1186/s40168-023-01571-5,2020; 2021; 2023,Cafeteria burkhardae; HNF natural assemblages; MAST heterotrophic flagellates,exact,3,Key phagocytosis marker in uncultured marine taxa; metatranscriptomics study | Expressed during bacterivory in cultured marine HNF | Highly expressed during bacterivory in natural HNF communities; key phagocytosis marker
clathrin heavy chain,CHC;CLTC,Phagocytosis,Phagosome formation,K04646,NA,CLTC;ÊclathrinÊheavyÊchain,Vesicle trafficking,PF09268.13,NA,NA,Labarre2020; Massana2021; Obiol2023,10.1002/lno.11379; 10.1038/s41396-020-00770-4; 10.1186/s40168-023-01571-5,2020; 2021; 2023,Cafeteria burkhardae; HNF natural assemblages; MAST heterotrophic flagellates,exact,3,Key phagocytosis marker in uncultured marine taxa; metatranscriptomics study | Expressed during bacterivory in cultured marine HNF | Highly expressed during bacterivory in natural HNF communities; key phagocytosis marker
phagotrophy (benthic dinoflagellate),Ostreopsis;Prorocentrum;Coolia,Phagocytosis,Phagotrophic behavior in benthic dinoflagellates,NA,NA,NA,NA,NA,NA,NA,Almada2017,10.1590/s1679-87592017140706503,2017,Ostreopsis; Prorocentrum; Coolia,unmatched,1,Benthic dinoflagellates exhibit phagotrophy; evidence from food vacuole observations
phagocytosis receptor-related,phago receptor,Phagocytosis,Prey recognition / uptake induction,NA,NA,NA,NA,NA,NA,NA,Lie2017,10.1186/s12864-017-3549-1,2017,Ochromonas sp. (Chrysophyceae),unmatched,1,Gene expression shifts from phototrophy to phagotrophy when prey available; prey > light drives phago genes
rhoptry proteins (RON/ROP),ROP;RON,Phagocytosis,Prey/host cell invasion apparatus (Apicomplexa),NA,NA,NA,NA,NA,NA,NA,Waller2024,10.1128/mmbr.00197-22,2024,Apicomplexa,unmatched,1,Rhoptry proteins evolved from ancestral phagocytic machinery; secreted during host cell invasion
phagocytosis of viruses and bacteria (protist mediator),virus grazing;bacteria grazing,Phagocytosis,Protist phagocytosis mediating microbial/viral community structure,NA,NA,NA,NA,NA,NA,NA,Schulz2024,10.1101/2024.12.29.630703,2024,Protists (diverse),unmatched,1,Protist phagocytosis shapes virus and bacterial community structure; predation-mediated microbial diversity
phagocytosis of hydrocarbon-degrading bacteria,HDB grazing,Phagocytosis,Sediment protist grazing on specialized bacteria,NA,NA,NA,NA,NA,NA,NA,Beaudoin2016,10.1016/j.dsr2.2014.01.007,2016,Deep-sea GoM sediment protists,unmatched,1,Protist grazing suppresses hydrocarbon-degrading bacteria; GoM deep-sea context
phagocytosis of picoeukaryotes (SIP),SIP grazing marker,Phagocytosis,Stable isotope probing to identify phagocytic grazers,NA,NA,NA,NA,NA,NA,NA,Orsi2018,10.1111/1462-2920.14018,2018,Heterotrophic protists (surface ocean),unmatched,1,SIP identifies which protists phagocytose photosynthetic picoeukaryotes; links grazing to gene expression
phagotrophy/phototrophy regulation (chrysophyte),Poterioochromonas feeding,Phagocytosis,Switching between phagotrophy and phototrophy,NA,NA,NA,NA,NA,NA,NA,Sanders1990,,1990,Poterioochromonas malhamensis,unmatched,1,Early demonstration of phagotrophy-phototrophy tradeoff in chrysophyte; light suppresses phagocytosis
temperature-driven shift to heterotrophy,phago:photo thermal response,Phagocytosis,Temperature regulation of phagocytosis vs photosynthesis,NA,NA,NA,NA,NA,NA,NA,Wilken2013,10.1111/ele.12033,2013,Ochromonas danica,unmatched,1,Rising temperature increases phagotrophy relative to photosynthesis; thermal regulation of heterotrophy genes
phagocytosis vs photosynthesis trait trade-off,phago:photo trade-off,Phagocytosis,Trait trade-off between phagocytosis and photosynthesis,NA,NA,NA,NA,NA,NA,NA,Mitra2024,10.1080/09670262.2023.2216259,2024,Mixotrophic microalgae (diverse),unmatched,1,Phagocytosis and photosynthesis compete for cellular resources; trait trade-offs shape mixoplankton strategies
heterotrophy diversity (climate resilience),heterotrophic protist marker,Scaling up,Climate effects on heterotrophic vs phototrophic protist diversity,NA,NA,NA,NA,NA,NA,NA,Ahme2025,10.1002/lol2.70017,2025,Marine protist communities,unmatched,1,Heterotrophic protists more resilient than phototrophic under heatwave + global change
resource competition (mixo vs heterotrophic ciliates),ciliate competition,Scaling up,Competitive dynamics: mixotrophic vs heterotrophic ciliates,NA,NA,NA,NA,NA,NA,NA,Floeder2024,10.1002/ecs2.4950,2024,Ciliates (mixotrophic + heterotrophic),unmatched,1,Resource supply dynamics determine mixo vs heterotrophic strategy dominance
heterotrophy gene expression markers,metatranscriptome markers,Scaling up,Depth-resolved protist metabolic gene expression,NA,NA,NA,NA,NA,NA,NA,Gleich2024,10.1111/1462-2920.16556,2024,Marine protists (NPSG),unmatched,1,Mesoscale eddies shift protist heterotrophy/autotrophy balance; gene expression evidence
metabolic gene expression (depth-stratified),heterotrophy metatranscriptome,Scaling up,Depth-stratified heterotrophy vs autotrophy gene expression,NA,NA,NA,NA,NA,NA,NA,Hu2018,10.1111/1462-2920.14259,2018,Marine protists (euphotic + mesopelagic),unmatched,1,Key protistan taxa shift from phototrophy to heterotrophy with depth; metatranscriptome evidence
gene-rich protist transcriptome (dinoflagellate),Alexandrium transcriptome,Scaling up,Dinoflagellate transcriptome baseline,NA,NA,NA,NA,NA,NA,NA,Moustafa2010,10.1371/journal.pone.0009688,2010,Alexandrium tamarense,unmatched,1,Broad transcriptome reference for toxic dinoflagellate; bacteria influence gene expression
protist genome (heterotrophy gene evolution),protist genomics,Scaling up,Genomic basis of heterotrophic lifestyle evolution,NA,NA,NA,NA,NA,NA,NA,Schoenle2025,10.1016/j.tig.2025.05.004,2025,Protists (diverse),unmatched,1,Protist genomics reveal evolution of heterotrophic gene repertoires; key for understanding phagocytosis origins
eukaryotic gene atlas,NA,Scaling up,Global biogeographic mapping of protist gene expression,NA,NA,NA,NA,NA,NA,NA,Carradec2018,10.1038/s41467-017-02342-1,2018,Marine eukaryotes (Tara Oceans),unmatched,1,Global distribution of heterotrophy-relevant gene clusters; used for biogeographic scaling
optimal heterotrophy:phototrophy ratio,mixotrophic strategy model,Scaling up,Global modeling of optimal mixotrophic metabolic strategy,NA,NA,NA,NA,NA,NA,NA,Moeller2024,10.1126/sciadv.adr0664,2024,Marine mixotrophs (global),unmatched,1,Model predicts optimal phago:photo ratio by environment; connects gene expression to ocean carbon models
heterotrophic protozoa (review),heterotrophic flagellate;ciliate,Scaling up,Heterotrophic planktonic microbial review,NA,NA,NA,NA,NA,NA,NA,Caron2015,,2015,Heterotrophic protozoa (marine),unmatched,1,Reference chapter on heterotrophic planktonic microbes including protozoa; ecological roles
anaerobic/microaerophilic heterotrophy (deep-sea protists),Carpediemonas;Trimastix,Scaling up,Heterotrophic protists in anoxic/extreme environments,NA,NA,NA,NA,NA,NA,NA,Edgcomb2007,10.1007/978-1-4020-6112-7_39,2007,Deep-sea anaerobic protists,unmatched,1,Heterotrophic protists dominate anoxic deep-sea environments; key ecological reference
heterotrophy to carbon flux (modeling),gene-to-flux model,Scaling up,Linking microbial gene expression to ocean carbon models,NA,NA,NA,NA,NA,NA,NA,Levine2025,10.1146/annurev-earth-040523-020630,2025,Marine microbes (diverse),unmatched,1,Framework for translating gene-level heterotrophy data to biogeochemical flux models
